level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2337	-1	
2	1	1	0	0	0	105	53	324	99	-1	
3	1	1	1	0	0	85	53	344	99	-1	
4	1	1	1	1	0	105	53	324	99	-1	
5	1	1	1	1	1	105	53	26	99	20	ZS
5	1	1	1	1	2	190	76	72	50	94	SA
5	1	1	1	1	3	268	77	161	48	94	Water
2	1	2	0	0	0	279	239	709	210	-1	
3	1	2	1	0	0	279	239	709	141	-1	
4	1	2	1	1	0	279	239	709	21	-1	
5	1	2	1	1	1	279	239	99	21	96	Account
5	1	2	1	1	2	389	239	96	21	96	Number
5	1	2	1	1	3	555	239	67	21	92	L.T.O
5	1	2	1	1	4	632	239	125	21	96	Reference
5	1	2	1	1	5	830	239	55	21	96	Date
5	1	2	1	1	6	894	239	22	21	97	of
5	1	2	1	1	7	926	239	62	21	96	issue
4	1	2	1	2	0	279	271	671	22	-1	
5	1	2	1	2	1	279	272	29	21	96	09
5	1	2	1	2	2	319	272	74	21	96	16867
5	1	2	1	2	3	403	272	29	21	94	20
5	1	2	1	2	4	441	272	14	20	94	2
5	1	2	1	2	5	554	271	143	21	89	CT6163782
5	1	2	1	2	6	828	271	122	21	96	3/12/2020
4	1	2	1	3	0	281	358	165	22	-1	
5	1	2	1	3	1	281	358	63	22	95	INFO
5	1	2	1	3	2	353	358	93	22	95	TRACK
3	1	2	2	0	0	280	393	195	21	-1	
4	1	2	2	1	0	280	393	195	21	-1	
5	1	2	2	1	1	280	393	59	21	95	GPO
5	1	2	2	1	2	350	393	55	21	96	BOX
5	1	2	2	1	3	415	393	60	21	96	4029
3	1	2	3	0	0	280	428	253	21	-1	
4	1	2	3	1	0	280	428	253	21	-1	
5	1	2	3	1	1	280	428	112	21	96	SYDNEY
5	1	2	3	1	2	402	428	63	21	96	NSW
5	1	2	3	1	3	473	428	60	21	96	2000
2	1	3	0	0	0	280	462	377	27	-1	
3	1	3	1	0	0	280	462	377	27	-1	
4	1	3	1	1	0	280	462	377	27	-1	
5	1	3	1	1	1	280	462	377	27	91	actenquiries@infotrack.com.au
2	1	4	0	0	0	1261	239	141	53	-1	
3	1	4	1	0	0	1261	239	141	53	-1	
