level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	85	52	1461	121	-1	
3	1	1	1	0	0	85	52	1461	121	-1	
4	1	1	1	1	0	85	52	1461	31	-1	
5	1	1	1	1	1	85	60	11	18	78	a
5	1	1	1	1	2	951	52	91	31	96	Product
5	1	1	1	1	3	1241	56	81	22	96	Register
5	1	1	1	1	4	1329	56	68	17	96	Search
5	1	1	1	1	5	1406	56	35	22	93	(CT
5	1	1	1	1	6	1449	57	97	20	92	6163/782)
4	1	1	1	2	0	241	69	1203	58	-1	
5	1	1	1	2	1	241	69	60	58	22	ee
5	1	1	1	2	2	952	86	112	30	96	Date/Time
5	1	1	1	2	3	1240	90	109	17	96	02/12/2020
5	1	1	1	2	4	1359	90	85	16	96	11:42AM
4	1	1	1	3	0	152	123	1023	35	-1	
5	1	1	1	3	1	152	133	41	25	95	SA
5	1	1	1	3	2	960	123	102	17	96	Customer
5	1	1	1	3	3	1070	123	105	17	96	Reference
4	1	1	1	4	0	960	156	451	17	-1	
5	1	1	1	4	1	960	156	59	17	95	Order
5	1	1	1	4	2	1027	156	20	17	96	ID
5	1	1	1	4	3	1240	157	171	16	92	20201202004379
2	1	2	0	0	0	62	191	1529	3	-1	
3	1	2	1	0	0	62	191	1529	3	-1	
4	1	2	1	1	0	62	191	1529	3	-1	
5	1	2	1	1	1	62	191	1529	3	95	 
2	1	3	0	0	0	299	255	1082	55	-1	
3	1	3	1	0	0	299	255	1082	55	-1	
4	1	3	1	1	0	299	255	1082	27	-1	
5	1	3	1	1	1	299	255	49	21	93	The
5	1	3	1	1	2	358	255	231	27	92	Registrar-General
5	1	3	1	1	3	599	255	105	21	96	certifies
5	1	3	1	1	4	713	255	50	21	96	that
5	1	3	1	1	5	772	255	48	21	96	this
5	1	3	1	1	6	829	255	56	21	96	Title
5	1	3	1	1	7	896	255	108	27	95	Register
5	1	3	1	1	8	1013	255	90	21	95	Search
5	1	3	1	1	9	1113	255	109	27	96	displays
5	1	3	1	1	10	1232	255	40	21	96	the
5	1	3	1	1	11	1283	255	98	21	96	records
4	1	3	1	2	0	301	283	1015	27	-1	
5	1	3	1	2	1	301	283	143	21	96	maintained
5	1	3	1	2	2	455	283	21	21	96	in
5	1	3	1	2	3	486	283	41	21	96	the
5	1	3	1	2	4	537	283	109	27	96	Register
5	1	3	1	2	5	656	283	67	21	96	Book
5	1	3	1	2	6	732	283	47	21	96	and
5	1	3	1	2	7	789	283	68	21	96	other
5	1	3	1	2	8	867	283	122	21	96	notations
5	1	3	1	2	9	999	285	23	19	96	at
5	1	3	1	2	10	1031	283	41	21	95	the
5	1	3	1	2	11	1080	283	56	21	96	time
5	1	3	1	2	12	1146	283	25	21	96	of
5	1	3	1	2	13	1179	283	137	27	96	searching.
2	1	4	0	0	0	83	228	1494	111	-1	
3	1	4	1	0	0	83	228	1494	111	-1	
4	1	4	1	1	0	83	228	1494	111	-1	
5	1	4	1	1	1	83	228	178	98	95	 
5	1	4	1	1	2	1422	230	155	109	95	 
2	1	5	0	0	0	111	323	127	27	-1	
3	1	5	1	0	0	111	323	127	27	-1	
4	1	5	1	1	0	111	323	127	27	-1	
5	1	5	1	1	1	111	323	26	27	78	Son
5	1	5	1	1	2	191	327	47	14	78	stralia
2	1	6	0	0	0	63	359	1527	3	-1	
3	1	6	1	0	0	63	359	1527	3	-1	
4	1	6	1	1	0	63	359	1527	3	-1	
5	1	6	1	1	1	63	359	1527	3	95	 
2	1	7	0	0	0	79	388	888	34	-1	
3	1	7	1	0	0	79	388	888	34	-1	
4	1	7	1	1	0	79	388	888	34	-1	
5	1	7	1	1	1	79	388	214	34	96	Certificate
5	1	7	1	1	2	308	388	39	34	96	of
5	1	7	1	1	3	362	388	89	34	92	Title
5	1	7	1	1	4	466	405	12	6	92	-
5	1	7	1	1	5	493	388	158	34	95	Volume
5	1	7	1	1	6	666	388	96	34	96	6163
5	1	7	1	1	7	779	388	101	34	95	Folio
5	1	7	1	1	8	896	388	71	34	96	782
