level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	83	52	1432	43	-1	
3	1	1	1	0	0	83	52	1432	43	-1	
4	1	1	1	1	0	952	52	563	30	-1	
5	1	1	1	1	1	952	52	90	30	96	Product
5	1	1	1	1	2	1240	56	40	17	96	Title
5	1	1	1	1	3	1288	56	35	17	97	and
5	1	1	1	1	4	1332	56	90	17	96	Valuation
5	1	1	1	1	5	1431	56	84	22	96	Package
4	1	1	1	2	0	83	58	154	37	-1	
5	1	1	1	2	1	83	58	14	22	32	0
5	1	1	1	2	2	152	69	85	26	86	LAND
2	1	2	0	0	0	158	86	1286	87	-1	
3	1	2	1	0	0	151	86	1293	87	-1	
4	1	2	1	1	0	952	86	492	30	-1	
5	1	2	1	1	1	952	86	113	30	96	Date/Time
5	1	2	1	1	2	1240	90	109	17	96	02/12/2020
5	1	2	1	1	3	1359	90	85	16	96	11:42AM
4	1	2	1	2	0	158	101	1018	58	-1	
5	1	2	1	2	1	158	101	66	58	0	—
5	1	2	1	2	2	960	123	102	17	96	Customer
5	1	2	1	2	3	1070	123	106	17	96	Reference
4	1	2	1	3	0	960	156	451	17	-1	
5	1	2	1	3	1	960	156	59	17	95	Order
5	1	2	1	3	2	1027	156	20	17	96	ID
5	1	2	1	3	3	1240	157	171	16	92	20201202004379
2	1	3	0	0	0	61	176	1530	33	-1	
3	1	3	1	0	0	61	176	1530	33	-1	
4	1	3	1	1	0	61	176	1530	33	-1	
5	1	3	1	1	1	61	176	1530	33	95	 
2	1	4	0	0	0	93	240	1418	28	-1	
3	1	4	1	0	0	93	240	1418	28	-1	
4	1	4	1	1	0	93	240	1418	28	-1	
5	1	4	1	1	1	93	241	108	22	96	Financial
5	1	4	1	1	2	209	241	59	22	96	Year
5	1	4	1	1	3	341	240	47	23	96	Site
5	1	4	1	1	4	396	241	71	22	96	Value
5	1	4	1	1	5	591	240	84	28	96	Capital
5	1	4	1	1	6	685	241	70	22	96	Value
5	1	4	1	1	7	842	241	99	22	96	Notional
5	1	4	1	1	8	951	240	46	23	97	Site
5	1	4	1	1	9	1092	241	99	22	96	Notional
5	1	4	1	1	10	1200	240	85	28	96	Capital
5	1	4	1	1	11	1342	241	98	22	96	Notional
5	1	4	1	1	12	1450	241	61	27	96	Type
2	1	5	0	0	0	828	265	332	35	-1	
3	1	5	1	0	0	828	265	332	35	-1	
4	1	5	1	1	0	828	265	332	35	-1	
5	1	5	1	1	1	828	265	82	35	96	Value
5	1	5	1	1	2	1090	269	70	22	96	Value
2	1	6	0	0	0	72	215	1510	93	-1	
3	1	6	1	0	0	72	215	1510	93	-1	
4	1	6	1	1	0	72	215	1510	93	-1	
5	1	6	1	1	1	72	215	1510	93	95	 
2	1	7	0	0	0	93	319	612	36	-1	
3	1	7	1	0	0	93	319	612	36	-1	
4	1	7	1	1	0	93	319	612	36	-1	
5	1	7	1	1	1	93	319	105	36	96	Previous
5	1	7	1	1	2	342	323	113	26	96	$265,000
5	1	7	1	1	3	592	323	113	26	96	$710,000
2	1	8	0	0	0	80	398	331	43	-1	
3	1	8	1	0	0	80	398	331	43	-1	
4	1	8	1	1	0	80	398	331	43	-1	
5	1	8	1	1	1	80	398	171	43	96	Building
5	1	8	1	1	2	270	398	141	34	95	Details
2	1	9	0	0	0	77	466	956	410	-1	
3	1	9	1	0	0	78	466	922	132	-1	
4	1	9	1	1	0	78	466	916	21	-1	
5	1	9	1	1	1	78	466	122	21	96	Valuation
5	1	9	1	1	2	211	466	103	21	96	Number
5	1	9	1	1	3	842	466	152	21	96	0916867202
4	1	9	1	2	0	79	521	921	27	-1	
5	1	9	1	2	1	79	522	107	26	96	Building
5	1	9	1	2	2	196	521	65	27	96	Style
5	1	9	1	2	3	842	521	158	22	96	Conventional
4	1	9	1	3	0	78	577	823	21	-1	
5	1	9	1	3	1	78	577	59	21	95	Year
5	1	9	1	3	2	147	577	59	21	96	Built
5	1	9	1	3	3	841	577	60	21	96	2015
3	1	9	2	0	0	77	633	894	77	-1	
4	1	9	2	1	0	79	633	892	27	-1	
5	1	9	2	1	1	79	633	107	27	96	Building
5	1	9	2	1	2	197	633	127	21	95	Condition
5	1	9	2	1	3	841	633	56	27	96	Very
5	1	9	2	1	4	906	633	65	21	96	Good
4	1	9	2	2	0	77	688	825	22	-1	
5	1	9	2	2	1	77	689	55	21	96	Wall
5	1	9	2	2	2	143	688	170	22	96	Construction
5	1	9	2	2	3	843	689	59	21	96	Brick
