level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	286	169	1195	52	-1	
3	1	1	1	0	0	286	169	1195	52	-1	
4	1	1	1	1	0	286	169	1195	52	-1	
5	1	1	1	1	1	286	176	118	30	11	TMT
5	1	1	1	1	2	403	169	113	52	0	LOSodAN
5	1	1	1	1	3	655	173	290	33	96	CERTIFICATE
5	1	1	1	1	4	961	173	60	33	96	OF
5	1	1	1	1	5	1038	173	117	33	94	LAND
5	1	1	1	1	6	1170	173	87	33	94	TAX
5	1	1	1	1	7	1274	173	207	33	95	PAYABLE
2	1	2	0	0	0	282	232	237	10	-1	
3	1	2	1	0	0	282	232	237	10	-1	
4	1	2	1	1	0	282	232	237	10	-1	
5	1	2	1	1	1	273	223	64	28	0	Pea
5	1	2	1	1	2	350	223	43	28	26	Res
5	1	2	1	1	3	403	223	46	28	38	Cue
5	1	2	1	1	4	448	232	30	10	16	Na
5	1	2	1	1	5	485	223	38	28	30	aed
2	1	3	0	0	0	146	264	179	37	-1	
3	1	3	1	0	0	146	264	179	37	-1	
4	1	3	1	1	0	146	264	179	14	-1	
5	1	3	1	1	1	146	264	38	14	96	ABN
5	1	3	1	1	2	193	264	19	14	96	19
5	1	3	1	1	3	219	264	31	14	96	040
5	1	3	1	1	4	256	264	31	14	96	349
5	1	3	1	1	5	295	264	30	14	95	865
4	1	3	1	2	0	147	286	161	15	-1	
5	1	3	1	2	1	147	286	41	15	34	Tio
5	1	3	1	2	2	195	286	113	15	0	Maco)
2	1	4	0	0	0	114	106	1458	204	-1	
3	1	4	1	0	0	114	106	1458	204	-1	
4	1	4	1	1	0	114	106	1458	204	-1	
5	1	4	1	1	1	114	106	1458	204	95	 
2	1	5	0	0	0	197	354	1278	27	-1	
3	1	5	1	0	0	197	354	1278	27	-1	
4	1	5	1	1	0	197	354	1278	27	-1	
5	1	5	1	1	1	197	354	45	17	96	This
5	1	5	1	1	2	249	354	48	17	96	form
5	1	5	1	1	3	306	354	16	17	96	is
5	1	5	1	1	4	330	358	10	13	96	a
5	1	5	1	1	5	348	355	104	16	96	statement
