level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	960	123	451	50	-1	
3	1	1	1	0	0	960	123	451	50	-1	
4	1	1	1	1	0	960	123	216	17	-1	
5	1	1	1	1	1	960	123	102	17	96	Customer
5	1	1	1	1	2	1070	123	106	17	96	Reference
4	1	1	1	2	0	960	156	451	17	-1	
5	1	1	1	2	1	960	156	59	17	95	Order
5	1	1	1	2	2	1027	156	20	17	96	ID
5	1	1	1	2	3	1240	157	171	16	92	20201202004379
2	1	2	0	0	0	83	49	1361	110	-1	
3	1	2	1	0	0	83	49	1361	110	-1	
4	1	2	1	1	0	83	49	1323	46	-1	
5	1	2	1	1	1	83	58	14	22	50	a
5	1	2	1	1	2	152	69	85	26	96	LAND
5	1	2	1	1	3	961	49	81	34	96	Product
5	1	2	1	1	4	1241	56	88	17	95	Historical
5	1	2	1	1	5	1338	56	68	17	95	Search
4	1	2	1	2	0	961	86	483	29	-1	
5	1	2	1	2	1	961	86	104	29	96	Date/Time
5	1	2	1	2	2	1240	90	109	17	96	02/12/2020
5	1	2	1	2	3	1359	90	85	16	96	11:42AM
4	1	2	1	3	0	151	101	150	26	-1	
5	1	2	1	3	1	151	101	150	26	96	SERVICES
4	1	2	1	4	0	151	133	43	26	-1	
5	1	2	1	4	1	151	133	43	26	95	SA
2	1	3	0	0	0	61	189	1530	7	-1	
3	1	3	1	0	0	61	189	1530	7	-1	
4	1	3	1	1	0	61	189	1530	7	-1	
5	1	3	1	1	1	61	189	1530	7	95	 
2	1	4	0	0	0	79	231	372	35	-1	
3	1	4	1	0	0	79	231	372	35	-1	
4	1	4	1	1	0	79	231	372	35	-1	
5	1	4	1	1	1	79	231	372	35	96	Certificate
5	1	4	1	1	2	295	227	48	48	96	of
5	1	4	1	1	3	347	231	104	35	96	Title
2	1	5	0	0	0	67	299	651	138	-1	
3	1	5	1	0	0	77	299	641	138	-1	
4	1	5	1	1	0	77	299	465	22	-1	
5	1	5	1	1	1	77	300	56	21	96	Title
5	1	5	1	1	2	144	300	139	21	96	Reference:
5	1	5	1	1	3	384	299	35	22	93	CT
5	1	5	1	1	4	428	300	114	21	91	6163/782
4	1	5	1	2	0	67	349	451	37	-1	
5	1	5	1	2	1	67	349	102	37	96	Status:
5	1	5	1	2	2	384	355	134	21	96	CURRENT
4	1	5	1	3	0	79	410	639	27	-1	
5	1	5	1	3	1	79	411	83	21	93	Parent
5	1	5	1	3	2	171	411	98	26	93	Title(s):
5	1	5	1	3	3	384	410	35	22	93	CT
5	1	5	1	3	4	428	411	120	24	92	6135/142,
5	1	5	1	3	5	560	410	35	22	92	CT
5	1	5	1	3	6	604	411	114	21	87	6135/143
2	1	6	0	0	0	77	466	474	49	-1	
3	1	6	1	0	0	77	466	474	49	-1	
4	1	6	1	1	0	79	466	472	27	-1	
