level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	664	141	364	34	-1	
3	1	1	1	0	0	664	141	364	34	-1	
4	1	1	1	1	0	664	141	364	34	-1	
5	1	1	1	1	1	664	141	289	34	96	CERTIFICATE
5	1	1	1	1	2	969	141	59	34	96	OF
2	1	2	0	0	0	665	192	871	33	-1	
3	1	2	1	0	0	665	192	871	33	-1	
4	1	2	1	1	0	665	192	871	33	-1	
5	1	2	1	1	1	665	192	282	33	96	EMERGENCY
5	1	2	1	1	2	962	192	222	33	96	SERVICES
5	1	2	1	1	3	1201	192	112	32	95	LEVY
5	1	2	1	1	4	1329	192	207	32	96	PAYABLE
2	1	3	0	0	0	142	248	1147	29	-1	
3	1	3	1	0	0	142	248	1147	29	-1	
4	1	3	1	1	0	142	248	1147	29	-1	
5	1	3	1	1	1	142	262	141	15	0	NERO
5	1	3	1	1	2	270	245	24	36	25	OR
5	1	3	1	1	3	291	263	30	14	0	Ga
5	1	3	1	1	4	666	248	37	17	96	The
5	1	3	1	1	5	712	248	109	21	96	Emergency
5	1	3	1	1	6	830	248	83	17	96	Services
5	1	3	1	1	7	922	248	44	21	97	Levy
5	1	3	1	1	8	973	248	75	21	96	working
5	1	3	1	1	9	1056	248	25	17	96	for
5	1	3	1	1	10	1089	248	19	17	96	all
5	1	3	1	1	11	1117	248	56	17	96	South
5	1	3	1	1	12	1181	248	108	17	96	Australians
2	1	4	0	0	0	144	284	333	19	-1	
3	1	4	1	0	0	144	284	333	19	-1	
4	1	4	1	1	0	144	284	333	19	-1	
5	1	4	1	1	1	144	285	95	18	96	Emergency
5	1	4	1	1	2	247	284	72	15	96	Services
5	1	4	1	1	3	327	285	67	18	96	Funding
5	1	4	1	1	4	402	285	27	14	96	Act
5	1	4	1	1	5	437	285	40	14	96	1998
2	1	5	0	0	0	114	106	1458	202	-1	
3	1	5	1	0	0	114	106	1458	202	-1	
4	1	5	1	1	0	114	106	1458	202	-1	
5	1	5	1	1	1	114	106	1458	202	95	 
2	1	6	0	0	0	196	422	804	4	-1	
3	1	6	1	0	0	196	422	804	4	-1	
4	1	6	1	1	0	196	422	804	4	-1	
5	1	6	1	1	1	196	422	804	4	95	 
2	1	7	0	0	0	195	355	1290	140	-1	
3	1	7	1	0	0	195	355	1290	140	-1	
4	1	7	1	1	0	195	355	1276	22	-1	
5	1	7	1	1	1	195	355	39	17	96	The
5	1	7	1	1	2	241	355	69	17	96	details
5	1	7	1	1	3	318	355	68	17	96	shown
5	1	7	1	1	4	394	359	32	13	96	are
5	1	7	1	1	5	434	356	75	16	96	current
5	1	7	1	1	6	516	359	24	13	95	as
5	1	7	1	1	7	547	356	19	16	95	at
5	1	7	1	1	8	573	355	32	17	96	the
5	1	7	1	1	9	612	355	45	17	96	date
