question,fdf
1.1,checkboxname405
1.1,select409
1.1,select413
1.1,textareaname419
1.1,textareaname427
1.1,textareaname435

1.2,checkboxname447
1.2,select451
1.2,select455
1.2,textareaname461
1.2,textareaname469
1.2,textareaname477
1.2,select485
1.2,textareaname494
1.2,select502
1.2,textareaname511

1.3,checkboxname523
1.3,select527
1.3,select531
1.3,textareaname537
1.3,textareaname545
1.3,textareaname553
1.3,select561
1.3,textareaname570
1.3,select578

1.4,checkboxname591
1.4,select595
1.4,select599
1.4,textareaname605
1.4,textareaname615
1.4,textareaname624
1.4,textareaname626
1.4,textareaname635
1.4,textareaname637
1.4,select646
1.4,textareaname658
1.4,textareaname662

1.5,checkboxname674
1.5,select678
1.5,select682
1.5,textareaname688
1.5,textareaname698
1.5,textareaname706

1.6,checkboxname718
1.6,select722
1.6,select726
1.6,textareaname732
1.6,textareaname742
1.6,textareaname750
1.6,textareaname758

2.1,checkboxname773
2.1,select777
2.1,select781
2.1,textareaname787
2.1,textareaname794

2.2,checkboxname806
2.2,select810
2.2,select814
2.2,textareaname820
2.2,textareaname827
2.2,textareaname830
2.2,textareaname832

2.3,checkboxname844
2.3,select848
2.3,select852
2.3,textareaname858
2.3,textareaname868
2.3,textareaname877
2.3,textareaname885
2.3,textareaname893

3.1,checkboxname908
3.1,select912
3.1,select916
3.1,textareaname922
3.1,textareaname932
3.1,textareaname941
3.1,textareaname949

4.1,checkboxname965
4.1,select969
4.1,select973
4.1,textareaname979
4.1,textareaname986
4.1,select996
4.1,select1007
4.1,select1018
4.1,checkboxname965
4.1,textareaname1027
4.1,select1041

4.2,checkboxname1054
4.2,select1058
4.2,select1062
4.2,textareaname1068
4.2,textareaname1075
4.2,textareaname1078
4.2,textareaname1080

4.3,checkboxname1092
4.3,select1096
4.3,select1100
4.3,textareaname1106
4.3,textareaname1113
4.3,textareaname1116
4.3,textareaname1118
4.3,textareaname1120

4.4,checkboxname1133
4.4,select1137
4.4,select1141
4.4,textareaname1147
4.4,textareaname1154
4.4,textareaname1162
4.4,textareaname1170
4.4,textareaname1175

4.5,checkboxname1187
4.5,select1190
4.5,select1193
4.5,textareaname1197
4.5,textareaname1204
4.5,textareaname1210
4.5,textareaname1216
4.5,textareaname1222

4.6,checkboxname1235
4.6,select1238
4.6,select1241
4.6,textareaname1245
4.6,textareaname1252
4.6,textareaname1258
4.6,textareaname1264
4.6,textareaname1268

4.7,checkboxname1280
4.7,select1283
4.7,select1286
4.7,textareaname1290
4.7,textareaname1297
4.7,textareaname1303
4.7,textareaname1309

4.8,checkboxname1321
4.8,select1324
4.8,select1327
4.8,textareaname1331
4.8,textareaname1338
4.8,textareaname1344
4.8,textareaname1350

4.9,checkboxname1362
4.9,select1365
4.9,select1368
4.9,textareaname1372
4.9,textareaname1379
4.9,textareaname1385
4.9,textareaname1391
4.9,textareaname1397
